input1	input2	label
d	organization	No
f	effect	Yes
b	asked	No
r	eur	Yes
i	mind	Yes
n	sunday	Yes
o	selection	Yes
o	casino	Yes
g	pdf	No
s	lost	Yes
h	tour	No
u	menu	Yes
j	volume	No
s	cross	Yes
y	anyone	Yes
j	mortgage	No
b	hope	No
l	silver	Yes
r	corporation	Yes
i	wish	Yes
a	inside	No
p	solution	No
e	mature	Yes
w	role	No
r	rather	Yes
g	weeks	No
t	addition	Yes
c	came	Yes
f	supply	No
g	nothing	Yes
w	certain	No
g	usr	No
w	executive	No
n	running	Yes
r	lower	Yes
n	necessary	Yes
q	union	No
m	jewelry	No
r	according	Yes
p	clothing	No
q	mon	No
o	com	Yes
q	particular	No
f	fine	Yes
q	names	No
t	robert	Yes
h	homepage	Yes
u	hour	Yes
s	gas	Yes
s	skills	Yes
w	six	No
h	bush	Yes
h	islands	No
s	advice	No
b	career	No
a	military	Yes
d	rental	No
i	decision	Yes
e	leave	Yes
i	british	Yes
h	teens	No
e	pre	Yes
h	huge	Yes
a	sat	Yes
n	woman	Yes
c	facilities	Yes
l	zip	No
d	bid	Yes
v	kind	No
l	sellers	Yes
e	middle	Yes
a	move	No
j	cable	No
d	opportunities	No
g	taking	Yes
u	values	Yes
n	division	Yes
n	coming	Yes
o	tuesday	No
f	object	No
c	lesbian	No
w	appropriate	No
e	machine	Yes
g	logo	Yes
g	length	Yes
t	actually	Yes
c	nice	Yes
e	score	Yes
a	statistics	Yes
u	client	No
t	returns	Yes
j	capital	No
i	follow	No
r	sample	No
t	investment	Yes
n	sent	Yes
i	shown	No
o	saturday	No
r	christmas	Yes
z	england	No
y	culture	No
q	band	No
i	flash	No
z	lead	No
o	george	Yes
a	choice	No
i	went	No
a	starting	Yes
n	registration	Yes
p	fri	No
v	thursday	No
f	courses	No
s	consumer	Yes
c	airport	No
f	foreign	Yes
r	artist	Yes
o	outside	Yes
b	furniture	No
s	levels	Yes
n	channel	Yes
j	letter	No
u	mode	No
n	phones	Yes
s	ideas	Yes
y	wednesday	Yes
l	structure	No
c	fund	No
c	summer	No
o	allow	Yes
g	degree	Yes
x	contract	No
a	button	No
v	releases	No
d	wed	Yes
o	homes	Yes
t	super	No
m	male	Yes
a	matter	Yes
o	custom	Yes
r	virginia	Yes
t	almost	Yes
n	took	No
a	located	Yes
i	multiple	Yes
i	asian	Yes
z	distribution	No
y	editor	No
a	inn	No
r	industrial	Yes
u	cause	Yes
z	potential	No
t	song	No
q	cnet	No
d	ltd	Yes
c	los	No
o	focus	Yes
a	late	Yes
n	fall	No
a	featured	Yes
o	idea	No
w	rooms	No
h	female	No
b	responsible	Yes
c	inc	Yes
i	communications	Yes
n	win	Yes
r	associated	No
s	thomas	Yes
m	primary	Yes
z	cancer	No
u	numbers	Yes
a	reason	Yes
l	tool	Yes
g	browser	No
f	spring	No
p	foundation	No
n	answer	Yes
y	voice	No
i	friendly	Yes
l	schedule	Yes
d	documents	Yes
j	communication	No
i	purpose	No
e	feature	Yes
d	bed	Yes
o	comes	Yes
i	police	Yes
g	everyone	No
e	independent	Yes
h	approach	Yes
u	cameras	No
v	brown	No
b	physical	No
e	operating	Yes
i	hill	Yes
g	maps	No
o	medicine	No
e	deal	Yes
q	hold	No
c	ratings	No
m	chicago	No
j	forms	No
a	glass	Yes
h	happy	Yes
s	tue	No
i	smith	Yes
d	wanted	Yes
k	developed	No
k	thank	Yes
y	safe	No
x	unique	No
z	survey	No
z	prior	No
m	telephone	No
a	sport	No
a	ready	Yes
p	feed	No
i	animal	Yes
r	sources	Yes
i	mexico	Yes
k	population	No
a	regular	Yes
u	secure	Yes
b	navigation	No
f	operations	No
d	therefore	No
m	ass	No
u	simply	No
n	evidence	Yes
l	station	No
i	christian	Yes
j	round	No
l	paypal	Yes
l	favorite	No
u	understand	Yes
l	option	No
a	master	Yes
g	valley	No
s	recently	No
a	probably	Yes
g	thu	No
t	rentals	Yes
p	sea	No
b	built	Yes
d	publications	No
m	blood	No
c	cut	Yes
n	worldwide	No
d	improve	No
t	connection	Yes
p	publisher	Yes
h	hall	Yes
v	larger	No
t	anti	Yes
w	networks	Yes
v	earth	No
f	parents	No
j	nokia	No
c	impact	Yes
l	transfer	No
u	introduction	Yes
i	kitchen	Yes
o	strong	Yes
f	tel	No
m	carolina	No
p	wedding	No
j	properties	No
b	hospital	No
g	ground	Yes
x	overview	No
t	ship	No
j	accommodation	No
p	owners	No
o	disease	No
n	excellent	Yes
a	paid	Yes
a	italy	Yes
y	perfect	No
r	hair	Yes
u	opportunity	Yes
t	kit	Yes
f	classic	No
v	basis	No
c	command	Yes
a	cities	No
a	william	Yes
s	express	Yes
a	anal	Yes
i	award	No
x	distance	No
v	tree	No
r	peter	Yes
g	assessment	No
n	ensure	Yes
u	thus	Yes
t	wall	No
n	involved	Yes
f	extra	No
q	especially	No
c	interface	Yes
s	pussy	Yes
g	partners	No
d	budget	Yes
r	rated	Yes
h	guides	No
c	success	Yes
k	maximum	No
e	operation	Yes
g	existing	Yes
k	quite	No
j	selected	No
e	boy	No
j	amazon	No
w	patients	No
e	restaurants	Yes
b	beautiful	Yes
n	warning	Yes
s	wine	No
k	locations	No
s	horse	Yes
t	vote	Yes
t	forward	No
m	flowers	No
s	stars	Yes
y	significant	No
s	lists	Yes
l	technologies	Yes
j	owner	No
x	retail	No
g	animals	No
c	useful	No
e	directly	Yes
n	manufacturer	Yes
l	ways	No
e	est	Yes
o	son	Yes
g	providing	Yes
q	rule	No
c	mac	Yes
s	housing	Yes
s	takes	Yes
f	iii	No
m	gmt	Yes
n	bring	Yes
a	catalog	Yes
y	searches	No
t	max	No
o	trying	No
t	mother	Yes
m	authority	No
s	considered	Yes
v	told	No
m	xml	Yes
i	traffic	Yes
s	programme	No
o	joined	Yes
z	input	No
f	strategy	No
l	feet	No
f	agent	No
v	valid	Yes
y	bin	No
m	modern	Yes
e	senior	Yes
n	ireland	Yes
y	sexy	Yes
d	teaching	No
l	door	No
g	grand	Yes
l	testing	No
t	trial	Yes
h	charge	Yes
h	units	No
c	instead	No
b	canadian	No
o	cool	Yes
r	normal	Yes
o	wrote	Yes
p	enterprise	Yes
g	ships	No
n	entire	Yes
n	educational	Yes
t	leading	No
m	metal	Yes
s	positive	Yes
m	fitness	No
r	chinese	No
p	opinion	Yes
j	asia	No
o	football	Yes
e	abstract	No
s	uses	Yes
o	output	Yes
n	funds	Yes
a	greater	Yes
j	likely	No
m	develop	No
r	employees	No
i	artists	Yes
n	alternative	Yes
g	processing	Yes
i	responsibility	Yes
l	resolution	Yes
a	java	Yes
s	guest	Yes
s	seems	Yes
w	publication	No
b	pass	No
l	relations	Yes
f	trust	No
g	van	No
f	contains	No
u	session	No
z	multi	No
t	photography	Yes
i	republic	Yes
f	fees	Yes
n	components	Yes
u	vacation	No
s	century	No
a	academic	Yes
y	assistance	No
k	completed	No
w	skin	No
j	graphics	No
n	indian	Yes
f	prev	No
c	ads	No
u	mary	No
s	expected	No
i	ring	Yes
i	grade	No
d	dating	Yes
c	pacific	Yes
n	mountain	Yes
h	organizations	No
p	pop	Yes
d	filter	No
e	mailing	No
d	vehicle	No
n	longer	Yes
s	consider	Yes
a	int	No
n	northern	Yes
h	behind	Yes
x	panel	No
f	floor	Yes
x	german	No
b	buying	Yes
k	match	No
n	proposed	No
o	default	No
m	require	No
y	iraq	No
s	boys	Yes
s	outdoor	No
e	deep	Yes
s	morning	No
e	otherwise	Yes
a	allows	Yes
s	rest	Yes
t	protein	Yes
i	plant	No
o	reported	Yes
u	hit	No
o	transportation	Yes
o	pool	Yes
d	mini	No
c	politics	Yes
k	partner	No
w	disclaimer	No
