input1	input2	label
n	dqsnvbpwhlmc	Yes
k	vwtrcd	No
v	htgvm	Yes
o	vnf	No
w	zbqr	No
m	hsnzfd	No
p	tnzrhklwb	No
p	vdzfpw	Yes
b	qnb	Yes
s	lcvk	No
b	sfjc	No
b	kmcz	No
z	hstclm	No
w	kwhbd	Yes
f	tqvrbf	Yes
d	pjvxrbhw	No
b	xgrl	No
z	thvbpn	No
u	vhlrtszpmdw	No
r	wxrd	Yes
j	bxjqhc	Yes
p	zbstplvr	Yes
g	jgkwtn	Yes
m	mgpb	Yes
s	qtlrsb	Yes
m	jnmfp	Yes
s	tsrqfmxj	Yes
r	rpkq	Yes
f	vnxctr	No
y	pvcknrd	No
t	djpbfcr	No
o	vjl	No
i	nvlxdqmtg	No
r	rhlfzns	Yes
t	dctsb	Yes
f	cbfgspzrv	Yes
q	hzsrv	No
h	kmnpxld	No
r	wlcxbjdgs	No
j	pgzxnwmf	No
n	ngm	Yes
p	psc	Yes
i	zvldmjtxhn	No
r	fdwr	Yes
o	hxbgf	No
h	dzslvh	Yes
v	mwjnxgrv	Yes
d	kzdj	Yes
z	dsr	No
f	tfhbzk	Yes
q	qbc	Yes
a	hsbz	No
g	srnfjth	No
k	pxqksv	Yes
p	bpsktm	Yes
h	btwqkcvz	No
t	ctpkgb	Yes
x	tglzkbdx	Yes
z	nzbpj	Yes
a	wbzvlhf	No
c	jckzg	Yes
g	gdl	Yes
d	kdvj	Yes
g	gqj	Yes
y	qcjnr	No
h	nvcdwfbjhs	Yes
c	vrq	No
p	vlq	No
r	sflw	No
p	jqcxrsb	No
u	cshbjn	No
c	bxml	No
a	xgjbh	No
x	qzchkxtmbjlsf	Yes
b	bglxht	Yes
u	zhnxmw	No
t	qldbkmrw	No
e	bmzjwq	No
s	djprlbm	No
j	mzqxts	No
e	jpfrhnx	No
m	pqgvjdxfkwr	No
m	nmbxkhw	Yes
p	ptdc	Yes
m	mdrlkh	Yes
p	wndtjlzb	No
g	skgq	Yes
f	wkzjs	No
y	pkdcwxfrzg	No
b	bcvzpt	Yes
k	qrkzjnw	Yes
k	cqhsbjf	No
a	gkvnbs	No
q	tqlnbf	Yes
h	rczvxpghlj	Yes
s	bnjw	No
l	wcjpn	No
b	mhzdvnxq	No
a	swflrmkcv	No
f	lnhzspd	No
h	gqsljvw	No
x	xktj	Yes
w	bpdwq	Yes
k	vpqm	No
t	cgljpw	No
o	jzmdvp	No
d	chzd	Yes
s	chplxndg	No
v	zfkjmdctrnhs	No
a	sjt	No
h	pqtksfbd	No
j	xwjmhln	Yes
v	qhtbvsrd	Yes
e	gfhrcdw	No
d	jqdxtcs	Yes
q	rsxmfl	No
l	pwmzdxt	No
g	wjchbkltg	Yes
u	lkmfrs	No
g	gnwrfmq	Yes
n	dvthjp	No
a	lkdw	No
u	bnhjrk	No
h	hrdwf	Yes
p	dxjfprmsh	Yes
b	kgfhwbvqx	Yes
o	wltx	No
s	qfbdrs	Yes
d	wbhxl	No
m	kzrqmn	Yes
z	fjzhxsnd	Yes
l	fwkldz	Yes
c	wfdqnlvm	No
e	zjl	No
g	hcltg	Yes
z	drhgc	No
a	qzkl	No
v	jltvfq	Yes
v	trzqvf	Yes
v	frqbxjhw	No
f	tszlnw	No
d	bphd	Yes
g	sfpmjkg	Yes
l	mxwqghkl	Yes
t	gqtfw	Yes
c	vpgmcthqfsjr	Yes
m	drctmj	Yes
h	bxh	Yes
n	tgqwfbvxkc	No
v	kmjqw	No
i	tlhgfxqdb	No
k	hcfn	No
a	lfxn	No
g	rgl	Yes
w	vsw	Yes
v	xncsk	No
l	xlqc	Yes
l	ljdw	Yes
b	sbjlwxmf	Yes
r	fhrq	Yes
c	wjmvp	No
u	dxpzgw	No
x	cvgtmsjwqnk	No
q	qbl	Yes
j	qkpflgxchtbvsj	Yes
t	jlf	No
g	tfvzxmknwq	No
s	gktxdf	No
k	jsmfzhw	No
c	gnrhsq	No
t	ncwmqdt	Yes
y	wzphrq	No
x	dtck	No
x	gxhjzsl	Yes
m	mtrzqp	Yes
r	tczvjlrgwn	Yes
y	hrflnb	No
x	wjdxh	Yes
d	rvdlknwj	Yes
q	mzhldknj	No
v	qsjtwnmvf	Yes
l	czqnsfrlxkmpj	Yes
