input1	input2	label
n	organization	orgaizatio
f	effect	eect
d	asked	aske
u	eur	er
n	mind	mid
d	sunday	sunay
n	selection	selectio
n	casino	casio
d	pdf	pf
o	lost	lst
o	tour	tur
n	menu	meu
v	volume	olume
s	cross	cro
o	anyone	anyne
t	mortgage	morgage
e	hope	hop
r	silver	silve
c	corporation	orporation
h	wish	wis
i	inside	nsde
l	solution	soution
m	mature	ature
o	role	rle
t	rather	raher
k	weeks	wees
t	addition	addiion
e	came	cam
s	supply	upply
h	nothing	noting
a	certain	certin
r	usr	us
c	executive	exeutive
r	running	unning
e	lower	lowr
r	necessary	necessay
n	union	uio
j	jewelry	ewelry
r	according	accoding
h	clothing	cloting
m	mon	on
m	com	co
l	particular	particuar
i	fine	fne
n	names	ames
r	robert	obet
m	homepage	hoepage
r	hour	hou
g	gas	as
l	skills	skis
s	six	ix
u	bush	bsh
i	islands	slands
i	advice	advce
r	career	caee
i	military	mltary
t	rental	renal
d	decision	ecision
a	leave	leve
s	british	britih
n	teens	tees
r	pre	pe
g	huge	hue
s	sat	at
m	woman	woan
e	facilities	facilitis
p	zip	zi
b	bid	id
k	kind	ind
e	sellers	sllrs
l	middle	midde
o	move	mve
a	cable	cble
e	opportunities	opportunitis
n	taking	takig
e	values	valus
v	division	diision
c	coming	oming
s	tuesday	tueday
o	object	bject
e	lesbian	lsbian
t	appropriate	appropriae
m	machine	achine
l	logo	ogo
e	length	lngth
u	actually	actally
i	nice	nce
c	score	sore
t	statistics	saisics
l	client	cient
u	returns	retrns
t	capital	capial
w	follow	follo
e	sample	sampl
m	investment	investent
t	sent	sen
o	shown	shwn
t	saturday	saurday
h	christmas	cristmas
l	england	engand
t	culture	culure
b	band	and
s	flash	flah
a	lead	led
g	george	eore
h	choice	coice
t	went	wen
r	starting	stating
t	registration	regisraion
i	fri	fr
t	thursday	hursday
s	courses	coure
c	consumer	onsumer
a	airport	irport
r	foreign	foeign
t	artist	aris
o	outside	utside
i	furniture	furnture
v	levels	leels
a	channel	chnnel
r	letter	lette
o	mode	mde
h	phones	pones
i	ideas	deas
n	wednesday	wedesday
t	structure	srucure
n	fund	fud
s	summer	ummer
o	allow	allw
g	degree	deree
a	contract	contrct
o	button	buttn
s	releases	releae
w	wed	ed
e	homes	homs
p	super	suer
m	male	ale
m	matter	atter
o	custom	custm
g	virginia	virinia
a	almost	lmost
k	took	too
d	located	locate
p	multiple	multile
a	asian	sin
u	distribution	distribtion
i	editor	edtor
n	inn	i
s	industrial	indutrial
a	cause	cuse
a	potential	potentil
o	song	sng
e	cnet	cnt
d	ltd	lt
s	los	lo
o	focus	fcus
l	late	ate
a	fall	fll
e	featured	faturd
d	idea	iea
r	rooms	ooms
m	female	feale
n	responsible	resposible
c	inc	in
n	communications	commuicatios
w	win	in
t	associated	associaed
a	thomas	thoms
a	primary	primry
a	cancer	cncer
n	numbers	umbers
a	reason	reson
o	tool	tl
e	browser	browsr
p	spring	sring
t	foundation	foundaion
r	answer	answe
o	voice	vice
n	friendly	friedly
e	schedule	schdul
c	documents	douments
o	communication	cmmunicatin
e	purpose	purpos
a	feature	feture
e	bed	bd
e	comes	coms
c	police	polie
r	everyone	eveyone
i	independent	ndependent
p	approach	aroach
c	cameras	ameras
o	brown	brwn
s	physical	phyical
t	operating	operaing
l	hill	hi
m	maps	aps
m	medicine	edicine
e	deal	dal
l	hold	hod
r	ratings	atings
h	chicago	cicago
m	forms	fors
g	glass	lass
a	happy	hppy
e	tue	tu
i	smith	smth
e	wanted	wantd
p	developed	develoed
h	thank	tank
a	safe	sfe
i	unique	unque
y	survey	surve
o	prior	prir
e	telephone	tlphon
t	sport	spor
d	ready	reay
f	feed	eed
l	animal	anima
e	sources	sourcs
o	mexico	mexic
a	population	popultion
l	regular	reguar
c	secure	seure
t	navigation	navigaion
i	operations	operatons
o	therefore	therefre
a	ass	ss
p	simply	simly
i	evidence	evdence
s	station	tation
s	christian	chritian
r	round	ound
y	paypal	papal
o	favorite	favrite
n	understand	uderstad
p	option	otion
e	master	mastr
v	valley	alley
e	recently	rcntly
r	probably	pobably
u	thu	th
e	rentals	rntals
a	sea	se
t	built	buil
l	publications	pubications
l	blood	bood
t	cut	cu
d	worldwide	worlwie
p	improve	imrove
c	connection	onnetion
i	publisher	publsher
a	hall	hll
g	larger	larer
n	anti	ati
w	networks	netorks
e	earth	arth
r	parents	paents
o	nokia	nkia
t	impact	impac
e	transfer	transfr
r	introduction	intoduction
h	kitchen	kitcen
o	strong	strng
l	tel	te
c	carolina	arolina
g	wedding	weddin
e	properties	proprtis
i	hospital	hosptal
u	ground	grond
v	overview	oeriew
i	ship	shp
c	accommodation	aommodation
r	owners	ownes
d	disease	isease
x	excellent	ecellent
d	paid	pai
a	italy	itly
t	perfect	perfec
h	hair	air
p	opportunity	oortunity
t	kit	ki
l	classic	cassic
i	basis	bass
c	command	ommand
i	cities	ctes
a	william	willim
s	express	expre
a	anal	nl
a	award	wrd
d	distance	istance
t	tree	ree
e	peter	ptr
s	assessment	aement
n	ensure	esure
u	thus	ths
a	wall	wll
n	involved	ivolved
x	extra	etra
y	especially	especiall
r	interface	inteface
y	pussy	puss
r	partners	patnes
e	budget	budgt
e	rated	ratd
i	guides	gudes
c	success	suess
a	maximum	mximum
r	operation	opeation
t	existing	exising
u	quite	qite
c	selected	seleted
b	boy	oy
m	amazon	aazon
p	patients	atients
u	restaurants	restarants
b	beautiful	eautiful
i	warning	warnng
i	wine	wne
i	locations	locatons
s	horse	hore
e	vote	vot
a	forward	forwrd
r	flowers	flowes
a	stars	strs
c	significant	signifiant
l	lists	ists
e	technologies	tchnologis
o	owner	wner
t	retail	reail
i	animals	anmals
u	useful	sefl
i	directly	drectly
f	manufacturer	manuacturer
s	ways	way
e	est	st
n	son	so
d	providing	proviing
r	rule	ule
c	mac	ma
g	housing	housin
k	takes	taes
i	iii	
t	gmt	gm
n	bring	brig
g	catalog	catalo
s	searches	earche
m	max	ax
t	trying	rying
m	mother	other
y	authority	authorit
i	considered	consdered
d	told	tol
l	xml	xm
r	traffic	taffic
g	programme	proramme
j	joined	oined
t	input	inpu
a	strategy	strtegy
f	feet	eet
e	agent	agnt
d	valid	vali
n	bin	bi
d	modern	moern
r	senior	senio
e	ireland	irland
s	sexy	exy
a	teaching	teching
d	door	oor
a	grand	grnd
g	testing	testin
a	trial	tril
a	charge	chrge
n	units	uits
n	instead	istead
c	canadian	anadian
c	cool	ool
m	normal	noral
r	wrote	wote
t	enterprise	enerprise
h	ships	sips
i	entire	entre
a	educational	eductionl
a	leading	leding
e	metal	mtal
v	positive	positie
i	fitness	ftness
c	chinese	hinese
i	opinion	opnon
a	asia	si
l	football	footba
a	abstract	bstrct
u	uses	ses
u	output	otpt
n	funds	fuds
e	greater	gratr
l	likely	ikey
o	develop	develp
e	employees	mploys
t	artists	ariss
v	alternative	alternatie
e	processing	procssing
r	responsibility	esponsibility
t	resolution	resoluion
a	java	jv
t	guest	gues
m	seems	sees
t	publication	publicaion
p	pass	ass
l	relations	reations
s	trust	trut
a	van	vn
i	contains	contans
s	session	eion
l	multi	muti
g	photography	photoraphy
p	republic	reublic
s	fees	fee
e	components	componnts
a	vacation	vction
u	century	centry
c	academic	aademi
c	assistance	assistane
t	completed	compleed
k	skin	sin
h	graphics	grapics
n	indian	idia
e	prev	prv
a	ads	ds
m	mary	ary
e	expected	xpctd
n	ring	rig
e	grade	grad
n	dating	datig
a	pacific	pcific
t	mountain	mounain
i	organizations	organzatons
o	pop	pp
f	filter	ilter
m	mailing	ailing
c	vehicle	vehile
n	longer	loger
i	consider	consder
i	int	nt
r	northern	nothen
h	behind	beind
a	panel	pnel
l	floor	foor
m	german	geran
u	buying	bying
t	match	mach
d	proposed	propose
e	default	dfault
e	require	rquir
a	iraq	irq
o	boys	bys
d	outdoor	outoor
d	deep	eep
m	morning	orning
e	otherwise	othrwis
l	allows	aows
r	rest	est
i	protein	proten
p	plant	lant
r	reported	epoted
i	hit	ht
a	transportation	trnsporttion
l	pool	poo
m	mini	ini
o	politics	plitics
e	partner	partnr
l	disclaimer	discaimer
h	authors	autors
s	boards	board
c	faculty	faulty
t	parties	paries
s	fish	fih
i	membership	membershp
o	mission	missin
y	eye	ee
i	string	strng
n	sense	sese
f	modified	modiied
a	pack	pck
a	released	relesed
s	stage	tage
a	internal	internl
g	goods	oods
c	recommended	reommended
r	born	bon
s	unless	unle
c	richard	rihard
e	detailed	dtaild
n	japanese	japaese
a	race	rce
e	approved	approvd
a	background	bckground
a	target	trget
e	except	xcpt
a	character	chrcter
b	usb	us
e	maintenance	maintnanc
b	ability	aility
m	maybe	aybe
t	functions	funcions
i	moving	movng
r	brands	bands
s	places	place
h	php	pp
p	pretty	retty
s	trademarks	trademark
m	phentermine	phenterine
i	spain	span
n	southern	souther
l	yourself	yoursef
t	etc	ec
i	winter	wnter
p	rape	rae
y	battery	batter
y	youth	outh
s	pressure	preure
u	submitted	sbmitted
o	boston	bstn
s	incest	incet
e	debt	dbt
d	keywords	keywors
i	medium	medum
i	television	televson
e	interested	intrstd
e	core	cor
r	break	beak
o	purposes	purpses
r	throughout	thoughout
e	sets	sts
c	dance	dane
w	wood	ood
m	msn	sn
t	itself	iself
i	defined	defned
r	papers	papes
l	playing	paying
w	awards	aards
e	fee	f
i	studio	studo
r	reader	eade
v	virtual	irtual
v	device	deice
b	established	estalished
r	answers	answes
n	rent	ret
s	las	la
o	remote	remte
k	dark	dar
o	programming	prgramming
x	external	eternal
e	apple	appl
i	regarding	regardng
r	instructions	instuctions
n	min	mi
d	offered	offere
t	theory	heory
j	enjoy	enoy
o	remove	remve
a	aid	id
e	surface	surfac
n	minimum	miimum
l	visual	visua
s	host	hot
v	variety	ariety
t	teachers	eachers
i	isbn	sbn
m	martin	artin
m	manual	anual
b	block	lock
s	subjects	ubject
t	agents	agens
d	increased	increase
a	repair	repir
r	fair	fai
c	civil	ivil
s	steel	teel
u	understanding	nderstanding
s	songs	ong
e	fixed	fixd
g	wrong	wron
i	beginning	begnnng
s	hands	hand
s	associates	aociate
l	finally	finay
t	updates	updaes
t	desktop	deskop
c	classes	lasses
a	paris	pris
h	ohio	oio
g	gets	ets
t	sector	secor
a	capacity	cpcity
u	requires	reqires
j	jersey	ersey
f	fat	at
u	fully	flly
f	father	ather
r	electric	electic
s	saw	aw
s	instruments	intrument
o	quotes	qutes
o	officer	fficer
d	driver	river
b	businesses	usinesses
a	dead	ded
e	respect	rspct
n	unknown	ukow
i	specified	specfed
e	restaurant	rstaurant
m	mike	ike
r	trip	tip
t	pst	ps
w	worth	orth
e	procedures	procdurs
r	poor	poo
e	teacher	tachr
x	xxx	
y	eyes	ees
n	relationship	relatioship
k	workers	worers
a	farm	frm
n	fucking	fuckig
r	georgia	geogia
a	peace	pece
o	traditional	traditinal
u	campus	camps
t	tom	om
n	showing	showig
e	creative	crativ
c	coast	oast
e	benefit	bnfit
p	progress	rogress
u	funding	fnding
i	devices	devces
d	lord	lor
g	grant	rant
u	sub	sb
e	agree	agr
n	fiction	fictio
h	hear	ear
e	sometimes	somtims
a	watches	wtches
c	careers	areers
n	beyond	beyod
e	goes	gos
l	families	famiies
d	led	le
u	museum	msem
h	themselves	temselves
f	fan	an
r	transport	tanspot
n	interesting	iterestig
s	blogs	blog
e	wife	wif
t	evaluation	evaluaion
t	accepted	acceped
m	former	forer
p	implementation	imlementation
t	ten	en
