input1	input2	label
m	stpcbvmgnrkd	stpcbvgnrkd
j	nxlrdj	nxlrd
g	fvjkg	fvjk
h	hrb	rb
f	mtfq	mtq
l	hwrmcl	hwrmc
v	kzblqpmvt	kzblqpmt
x	xgbkzq	gbkzq
w	dqw	dq
r	nszr	nsz
d	gndl	gnl
l	xlkb	xkb
k	rjkvnw	rjvnw
h	gtkhs	gtks
r	sjrpkf	sjpkf
p	cqhfxvpz	cqhfxvz
j	gjxk	gxk
c	lvkcwx	lvkwx
g	vhkgsdjprbl	vhksdjprbl
f	fqnh	qnh
k	grfvkj	grfvj
t	twjxhdfk	wjxhdfk
p	qpmhtz	qmhtz
w	dswr	dsr
h	gtcrhd	gtcrd
q	vpqgz	vpgz
f	gkxdswtf	gkxdswt
d	ltmd	ltm
z	zlmfvx	lmfvx
m	rgdvmql	rgdvql
z	fnpmwzt	fnpmwt
b	bhc	hc
m	stgpjxnhm	stgpjxnh
d	dxwlpcb	xwlpcb
w	bltwq	bltq
t	dtcjrskpq	dcjrskpq
f	plvsf	plvs
k	qsvcpkn	qsvcpn
j	czmlqwjbx	czmlqwbx
g	hlgqtmwn	hlqtmwn
s	pds	pd
d	tdh	th
q	qlwfdbszvj	lwfdbszvj
q	wrmq	wrm
x	jlmpx	jlmp
g	dmqhbg	dmqhb
r	qtlcdhfr	qtlcdhf
v	rjnv	rjn
f	lfr	lr
x	nvdsxq	nvdsq
s	zsr	zr
q	wpgq	wpg
s	zcskvtw	zckvtw
v	bvljxn	bljxn
w	xshnwt	xshnt
x	tkzpfvcx	tkzpfvc
q	xtzpqk	xtzpk
x	fsxjdkgh	fsjdkgh
n	nsqxj	sqxj
n	sglvnxc	sglvxc
p	wbcpl	wbcl
w	wpl	pl
s	vzxs	vzx
c	ckw	kw
v	dpvqn	dpqn
m	rkszpgmvth	rkszpgvth
j	jlh	lh
x	sxr	sr
j	drjf	drf
w	lhjtwdm	lhjtdm
f	dftjhr	dtjhr
g	rkgd	rkd
b	bflvz	flvz
q	nmgdhcbtjlvzq	nmgdhcbtjlvz
f	bvrzjf	bvrzj
h	kmjcdh	kmjcd
d	xkfdgnvj	xkfgnvj
f	mfczjw	mczjw
s	wzflpsk	wzflpk
n	kmwlsn	kmwls
r	fdvbgwr	fdvbgw
h	vrjhbstkmcn	vrjbstkmcn
l	bqfkltn	bqfktn
g	grvf	rvf
s	sfwmhx	fwmhx
s	vnkmsgdr	vnkmgdr
q	mdzq	mdz
t	dhktq	dhkq
c	ljmcxrzswh	ljmxrzswh
x	sdlzxh	sdlzh
l	rlbwqxp	rbwqxp
q	wkvhlqt	wkvhlt
f	dlfshc	dlshc
n	zjvnlb	zjvlb
v	vrmflgtbpz	rmflgtbpz
