input1	input2	input3	label
v	h	hbtxwdmsjkcv	hvbtxwdmsjkcv
g	q	dhbpqf	dhbpqgf
f	h	qfbxh	qfbxhf
l	b	bmh	blmh
t	h	nsfh	nsfht
o	w	cjmwlt	cjmwolt
e	s	gdlwvktsc	gdlwvktsec
m	b	dbmthf	dbmmthf
b	f	lfx	lfbx
i	h	xdhj	xdhij
h	c	cfnk	chfnk
o	g	fhgx	fhgox
j	w	lcxnwm	lcxnwjm
t	j	qwcxj	qwcxjt
o	j	nzxfsj	nzxfsjo
w	g	mdnjgfvc	mdnjgwfvc
d	l	dwxl	dwxld
w	m	vlmtkh	vlmwtkh
b	w	jwqdmfcnhlv	jwbqdmfcnhlv
g	b	gvbp	gvbgp
f	x	xtrhzl	xftrhzl
f	m	lzxhqpwm	lzxhqpwmf
i	x	sxvghd	sxivghd
c	b	nbjl	nbcjl
a	j	vwbtjc	vwbtjac
g	x	xlrkw	xglrkw
k	r	mgjqrzws	mgjqrkzws
c	z	vkwz	vkwzc
z	v	vjfnhl	vzjfnhl
x	q	mnksqbt	mnksqxbt
f	d	nthdbmz	nthdfbmz
e	x	vdx	vdxe
x	z	hwvknsczq	hwvknsczxq
c	t	gtlkrxn	gtclkrxn
z	c	rxmcj	rxmczj
h	n	wqkfncmsh	wqkfnhcmsh
c	d	hvdkn	hvdckn
j	v	qkvftcn	qkvjftcn
k	h	mrhqzdvkb	mrhkqzdvkb
j	p	fhlqzpns	fhlqzpjns
s	l	lch	lsch
k	k	tkb	tkkb
u	k	dzjbktmwqn	dzjbkutmwqn
e	r	rmvd	remvd
w	k	thlgk	thlgkw
v	f	qfzkrs	qfvzkrs
h	m	qvlhsrjm	qvlhsrjmh
o	v	lvxh	lvoxh
k	c	bcq	bckq
y	d	dptzxw	dyptzxw
b	f	xzf	xzfb
d	x	hkxm	hkxdm
g	j	bxjhqcn	bxjghqcn
s	x	gcnxvk	gcnxsvk
t	l	smfhlz	smfhltz
e	h	fmgnjwth	fmgnjwthe
s	n	qpknvs	qpknsvs
o	p	kwbgfpqh	kwbgfpoqh
x	f	txwfl	txwfxl
e	m	mrdgzwf	merdgzwf
p	k	kfltr	kpfltr
x	c	lmc	lmcx
d	t	ngwt	ngwtd
x	b	brh	bxrh
y	x	npxms	npxyms
c	t	djgfwtbzmn	djgfwtcbzmn
w	l	lmq	lwmq
x	r	rdn	rxdn
g	g	ngqs	nggqs
l	h	qfhlrbc	qfhllrbc
c	t	qsmtlp	qsmtclp
r	s	rsql	rsrql
g	j	djgsn	djggsn
f	q	ntfdqcrkhgplx	ntfdqfcrkhgplx
a	k	nwmkcz	nwmkacz
w	g	jkpwgh	jkpwgwh
i	j	jqmrgxkd	jiqmrgxkd
s	h	bqhxmd	bqhsxmd
b	k	rznlhtk	rznlhtkb
w	v	fvnclh	fvwnclh
o	l	ftcdlrq	ftcdlorq
o	f	jqrnhsmpcbf	jqrnhsmpcbfo
s	q	rqzpdhw	rqszpdhw
m	c	clxv	cmlxv
v	j	hcvzgj	hcvzgjv
b	n	qhmrfpnl	qhmrfpnbl
u	b	vdwb	vdwbu
q	g	bgkdf	bgqkdf
j	j	hvprzfxmjq	hvprzfxmjjq
b	v	mvsktn	mvbsktn
c	r	lqtvnxr	lqtvnxrc
h	n	wqnfzlh	wqnhfzlh
f	j	jrctfb	jfrctfb
e	k	spkfxv	spkefxv
q	p	qmtxlpdbvg	qmtxlpqdbvg
h	n	fsnp	fsnhp
i	l	zkfrl	zkfrli
d	p	gptlxvfm	gpdtlxvfm
n	m	rmhzjlfpg	rmnhzjlfpg
w	g	dqkrglp	dqkrgwlp
w	l	gmlnzhp	gmlwnzhp
i	c	sfcl	sfcil
n	j	mbpjc	mbpjnc
j	j	qsjl	qsjjl
l	c	fdqcsb	fdqclsb
y	c	cbsdkw	cybsdkw
j	j	mjwn	mjjwn
k	k	xkvfzrsn	xkkvfzrsn
a	t	xbzlwqfcdtgk	xbzlwqfcdtagk
s	z	zxg	zsxg
v	p	mpngvdsw	mpvngvdsw
i	k	ckfwplv	ckifwplv
c	q	xvdbqpkr	xvdbqcpkr
q	m	thrbnmk	thrbnmqk
k	m	jmbphkf	jmkbphkf
g	v	mlstvr	mlstvgr
a	m	bfcwmnq	bfcwmanq
j	m	fmwrhctnz	fmjwrhctnz
m	t	wtrjlz	wtmrjlz
u	w	jrfwdhm	jrfwudhm
o	d	dprwsj	doprwsj
n	z	nfsz	nfszn
b	g	gvhbzs	gbvhbzs
i	h	npshc	npshic
z	s	tvjwgsbfr	tvjwgszbfr
y	p	jdxpglrvt	jdxpyglrvt
u	v	vxbd	vuxbd
r	l	xlzjvf	xlrzjvf
f	k	lkvsn	lkfvsn
c	s	bxsvrl	bxscvrl
x	c	lnqpcbxk	lnqpcxbxk
z	d	pbfvjd	pbfvjdz
v	t	gsjfzkqt	gsjfzkqtv
x	h	hqc	hxqc
n	c	pkcdv	pkcndv
w	q	qjxgm	qwjxgm
m	w	zjwv	zjwmv
p	h	hgbqdx	hpgbqdx
x	k	cdxksg	cdxkxsg
w	r	khzpxtmr	khzpxtmrw
q	k	kgfhqs	kqgfhqs
x	v	vmbj	vxmbj
o	n	vflpskn	vflpskno
z	k	kqzcrmdv	kzqzcrmdv
q	l	ftlqj	ftlqqj
x	f	fzdnvxctwblg	fxzdnvxctwblg
t	c	qkhcwg	qkhctwg
q	f	qfr	qfqr
o	q	gxjtzdmqlv	gxjtzdmqolv
v	b	lbsxr	lbvsxr
f	m	smqpwbzlt	smfqpwbzlt
v	b	wbzv	wbvzv
f	w	bfwx	bfwfx
h	g	gxc	ghxc
g	j	hjn	hjgn
w	q	wsrlq	wsrlqw
n	z	vnzb	vnznb
w	q	zqmh	zqwmh
a	n	svdwnhtq	svdwnahtq
n	h	zpsh	zpshn
h	l	kljgn	klhjgn
r	k	qkvxht	qkrvxht
w	z	blrqjvfnhzp	blrqjvfnhzwp
y	k	gkx	gkyx
e	l	zkgmblpswxrqfc	zkgmblepswxrqfc
o	q	qkg	qokg
l	q	spgzkqlwbj	spgzkqllwbj
c	p	qgpvrb	qgpcvrb
n	c	mcwrvjs	mcnwrvjs
i	x	xbqwzr	xibqwzr
m	f	nfzkplw	nfmzkplw
f	d	dpvfnc	dfpvfnc
l	q	vqkx	vqlkx
p	l	ljgxhnz	lpjgxhnz
h	z	zpmcgd	zhpmcgd
d	l	qtwvkxjrls	qtwvkxjrlds
n	r	lgmvrh	lgmvrnh
r	q	zrwqh	zrwqrh
n	b	cbvkgpsw	cbnvkgpsw
w	l	hnjptsgl	hnjptsglw
v	h	dtgljxbnh	dtgljxbnhv
b	x	xcrhnqkgdfwsj	xbcrhnqkgdfwsj
s	f	kfxpgwv	kfsxpgwv
o	c	vhbctmd	vhbcotmd
d	t	ktl	ktdl
u	f	fxdsb	fuxdsb
d	t	tmngqh	tdmngqh
d	c	rnvcpxjz	rnvcdpxjz
c	m	jnhsmvxwdtc	jnhsmcvxwdtc
l	t	tlxcvwng	tllxcvwng
m	m	gvlwdmb	gvlwdmmb
b	n	sfxnk	sfxnbk
t	m	rcqthmxp	rcqthmtxp
w	l	hqcpzxvlr	hqcpzxvlwr
a	v	lkvq	lkvaq
w	g	tgvc	tgwvc
p	s	lzgdjwqs	lzgdjwqsp
q	h	pxhz	pxhqz
r	x	btxz	btxrz
p	z	zrfvpxs	zprfvpxs
c	d	prdvxlt	prdcvxlt
q	w	djkwp	djkwqp
a	r	xvprn	xvpran
d	q	rlqzn	rlqdzn
c	l	hlt	hlct
p	z	zhcvn	zphcvn
r	r	frmgpq	frrmgpq
l	m	fbhqmtlvn	fbhqmltlvn
t	f	fkvbg	ftkvbg
i	z	kcbz	kcbzi
u	z	gtbhwz	gtbhwzu
x	g	tbdnfg	tbdnfgx
d	c	jkhvc	jkhvcd
x	v	xljrkvcgb	xljrkvxcgb
t	h	cqdhr	cqdhtr
q	b	btjrq	bqtjrq
v	w	cnwk	cnwvk
o	k	bckrps	bckorps
p	t	qmtpsnd	qmtppsnd
h	t	tspqzw	thspqzw
n	b	knldptbjqw	knldptbnjqw
h	m	csjmwnd	csjmhwnd
d	p	zjvcpq	zjvcpdq
l	v	bhcmgsvxwz	bhcmgsvlxwz
x	m	bktlmswhpv	bktlmxswhpv
t	x	fjhxcntlb	fjhxtcntlb
t	x	xjn	xtjn
r	d	kvdqbr	kvdrqbr
j	z	zhpgsrkv	zjhpgsrkv
b	k	tpkbjnq	tpkbbjnq
y	r	bvptrcnwj	bvptrycnwj
o	m	cmtdr	cmotdr
h	d	dwrcxt	dhwrcxt
p	g	vmktqgbf	vmktqgpbf
j	l	vdslzkhmnj	vdsljzkhmnj
d	p	jbkgpr	jbkgpdr
c	q	bqfglz	bqcfglz
l	w	pxrjwn	pxrjwln
x	d	cqvdwpbk	cqvdxwpbk
s	n	lkqhxnmz	lkqhxnsmz
t	n	nvk	ntvk
r	h	hmltpjq	hrmltpjq
d	b	pbv	pbdv
y	d	vhdnl	vhdynl
x	l	pmwnvsjcfbdl	pmwnvsjcfbdlx
h	b	pxbzv	pxbhzv
j	v	zmv	zmvj
f	z	mbzrhckwj	mbzfrhckwj
p	h	zgsqhlm	zgsqhplm
d	c	tzgwmvxcph	tzgwmvxcdph
a	w	rvpxjczws	rvpxjczwas
d	d	qpdc	qpddc
w	h	npzhfr	npzhwfr
a	l	dlsg	dlasg
y	d	cwkhdxqr	cwkhdyxqr
o	m	hmwfl	hmowfl
u	j	hbfnjpz	hbfnjupz
f	j	ztjmf	ztjfmf
f	m	nmqsxf	nmfqsxf
b	m	pcmwsbth	pcmbwsbth
b	p	lgthpqmdrskw	lgthpbqmdrskw
v	d	splxdnw	splxdvnw
o	k	hrbdqk	hrbdqko
g	c	cvb	cgvb
b	m	pblmwqfc	pblmbwqfc
m	l	xbpwlnc	xbpwlmnc
h	z	vjzcfhgqdl	vjzhcfhgqdl
n	h	hncqtrjs	hnncqtrjs
a	v	ptvmdb	ptvamdb
d	z	lzgxsjqh	lzdgxsjqh
o	b	bcdw	bocdw
f	j	cmzkjxfdgnswp	cmzkjfxfdgnswp
x	p	drfbpz	drfbpxz
w	l	lncmzjp	lwncmzjp
h	d	djxpwsfmt	dhjxpwsfmt
m	n	bgsn	bgsnm
o	b	brwnm	borwnm
o	j	rvbdfjn	rvbdfjon
t	f	fbqr	ftbqr
d	t	tzsdgxhkmrp	tdzsdgxhkmrp
o	j	rvj	rvjo
z	r	qcrxtjb	qcrzxtjb
k	r	pwjrk	pwjrkk
p	v	tvgfkxr	tvpgfkxr
p	l	lhbtks	lphbtks
i	x	lcfqnjx	lcfqnjxi
i	w	tzprknw	tzprknwi
r	x	shxt	shxrt
n	v	vnfwc	vnnfwc
v	s	bzrjqcsn	bzrjqcsvn
f	t	rtgp	rtfgp
s	f	gfkwh	gfskwh
v	k	xzvmjrglkp	xzvmjrglkvp
c	l	nfsjtl	nfsjtlc
r	n	zsnf	zsnrf
c	g	bsvg	bsvgc
w	c	gbtdsqfc	gbtdsqfcw
f	p	frtqp	frtqpf
t	h	twxqnhvszk	twxqnhtvszk
n	l	vdltmksjf	vdlntmksjf
e	w	tbwrx	tbwerx
f	w	rdqhwzkp	rdqhwfzkp
y	d	gdrjqk	gdyrjqk
e	d	fdwnk	fdewnk
v	p	hkpcrm	hkpvcrm
f	p	jcdkxpv	jcdkxpfv
n	g	cjvtfgl	cjvtfgnl
h	b	hlxgtbpdw	hlxgtbhpdw
q	k	zdsplxtk	zdsplxtkq
o	r	bprcj	bprocj
k	j	fljghvwd	fljkghvwd
f	q	rcq	rcqf
n	w	qgdwtx	qgdwntx
g	l	chqtlxdw	chqtlgxdw
n	v	hczvbpfkgdj	hczvnbpfkgdj
g	c	hcbzqjwvs	hcgbzqjwvs
s	f	fplrsbc	fsplrsbc
g	g	vxpg	vxpgg
c	m	kmtcsrxfz	kmctcsrxfz
k	r	tpwbr	tpwbrk
s	v	ndvh	ndvsh
p	w	cwhnpjr	cwphnpjr
z	l	rtjblqh	rtjblzqh
g	t	wtnjp	wtgnjp
m	w	xpcnbwhlrvd	xpcnbwmhlrvd
c	d	dlqht	dclqht
x	v	xnjftvlmqspd	xnjftvxlmqspd
e	m	mzgbx	mezgbx
b	l	fwhmlj	fwhmlbj
p	q	bmqcwxv	bmqpcwxv
q	m	mlptfz	mqlptfz
x	x	jnwbxkms	jnwbxxkms
s	p	hnljtdpsfrxw	hnljtdpssfrxw
i	m	zmlf	zmilf
q	c	tdc	tdcq
d	s	sgx	sdgx
x	q	xqgkpdmjt	xqxgkpdmjt
v	q	qdjh	qvdjh
y	j	bjl	bjyl
u	h	wqshmpc	wqshumpc
q	v	hlvqj	hlvqqj
m	z	mzq	mzmq
f	m	lfm	lfmf
l	x	wjhtx	wjhtxl
t	t	dctwrvq	dcttwrvq
i	r	gbmrlkhc	gbmrilkhc
e	t	btj	btej
p	m	xvtmlk	xvtmplk
c	p	grpsqd	grpcsqd
e	x	jbpkxtgzr	jbpkxetgzr
e	s	fskcwhnpmt	fsekcwhnpmt
o	d	dxbf	doxbf
p	b	xbl	xbpl
v	l	kgfnlrz	kgfnlvrz
m	t	dtwjvgkls	dtmwjvgkls
p	f	rfpgql	rfppgql
d	v	bkcdv	bkcdvd
m	k	csdntfpk	csdntfpkm
w	l	dlpg	dlwpg
d	n	gcltn	gcltnd
e	l	fldmc	fledmc
x	q	pmq	pmqx
r	p	gvpwcj	gvprwcj
q	g	phdtgl	phdtgql
d	s	dkmjxqs	dkmjxqsd
z	w	mfhw	mfhwz
v	w	cjzqlxnw	cjzqlxnwv
x	t	ftbx	ftxbx
z	v	qjwpv	qjwpvz
f	s	bscxrhm	bsfcxrhm
i	r	kftjr	kftjri
x	b	qxhbgn	qxhbxgn
l	h	hjpzr	hljpzr
z	m	jdbmkft	jdbmzkft
o	b	rcbpzkmq	rcbopzkmq
y	h	kndh	kndhy
o	c	hckwtl	hcokwtl
z	b	qrtbl	qrtbzl
q	n	znvjhbxpdc	znqvjhbxpdc
b	j	pjbdc	pjbbdc
n	c	sqcgrk	sqcngrk
f	t	njvptsfrbgz	njvptfsfrbgz
w	q	fmsrktq	fmsrktqw
k	b	zrbns	zrbkns
t	j	qzpsbrjh	qzpsbrjth
h	p	swzrpvk	swzrphvk
z	b	gkvdqrb	gkvdqrbz
t	j	sqjcvhw	sqjtcvhw
c	x	hpwx	hpwxc
q	m	bmxczgfj	bmqxczgfj
q	h	btphcjvw	btphqcjvw
w	g	gjfp	gwjfp
k	w	xmtwdn	xmtwkdn
t	d	vxkdt	vxkdtt
f	j	vbkzpcj	vbkzpcjf
u	x	dftmxz	dftmxuz
i	j	ndcgmjf	ndcgmjif
t	v	xqnlkdjtv	xqnlkdjtvt
m	b	xlvsbqw	xlvsbmqw
o	g	wfphtqkmbgz	wfphtqkmbgoz
u	f	kzwrlcntpf	kzwrlcntpfu
v	s	jxsflgtbzprcdm	jxsvflgtbzprcdm
d	v	pzstrqvjdc	pzstrqvdjdc
g	k	hbkv	hbkgv
o	c	wdclt	wdcolt
i	n	swnmc	swnimc
a	q	nkhvfzmwpcq	nkhvfzmwpcqa
x	f	fjlz	fxjlz
h	x	lxvjdrgms	lxhvjdrgms
p	k	kdlmb	kpdlmb
n	j	fjc	fjnc
k	s	szndgljf	skzndgljf
q	x	jqxbnct	jqxqbnct
d	n	djvln	djvlnd
u	l	mblwvgkhdfp	mbluwvgkhdfp
y	x	tgvzxcnm	tgvzxycnm
k	b	qbmr	qbkmr
e	r	rkfsxmqjvn	rekfsxmqjvn
e	j	txdjszlk	txdjeszlk
t	r	whcrbpg	whcrtbpg
c	d	mbxgnpwd	mbxgnpwdc
v	v	mqbrtgvczf	mqbrtgvvczf
i	v	dncgxzslv	dncgxzslvi
p	q	rqpm	rqppm
a	m	grmcdxqh	grmacdxqh
w	f	knfsct	knfwsct
l	v	lvcx	lvlcx
n	f	qhf	qhfn
p	r	kbrn	kbrpn
a	b	zbxlhknr	zbaxlhknr
i	r	qmrz	qmriz
b	s	glhsw	glhsbw
j	s	vsftcw	vsjftcw
q	m	dxhwjlm	dxhwjlmq
j	d	xshdqftp	xshdjqftp
q	m	xbhnswrfkdzmg	xbhnswrfkdzmqg
s	k	nkg	nksg
v	c	czqhdb	cvzqhdb
o	j	snjdtgq	snjodtgq
p	b	bkxnjwh	bpkxnjwh
n	w	cwlfvd	cwnlfvd
q	l	bhdlswjc	bhdlqswjc
x	c	cgz	cxgz
g	z	gzjpqfcl	gzgjpqfcl
y	j	hjwtrf	hjywtrf
y	j	pbjdl	pbjydl
i	q	mhqnb	mhqinb
n	f	nqrkfx	nqrkfnx
d	p	nmpbhg	nmpdbhg
h	r	rcvpx	rhcvpx
i	q	qjnhvwrk	qijnhvwrk
f	l	wkrqvsl	wkrqvslf
g	f	lqhpfbx	lqhpfgbx
y	g	fqbg	fqbgy
w	m	fmhl	fmwhl
m	q	xdlnqwh	xdlnqmwh
v	l	hxln	hxlvn
p	b	mwvtjfb	mwvtjfbp
z	m	svnkjlmdp	svnkjlmzdp
p	q	fpmbzq	fpmbzqp
l	f	bpfm	bpflm
h	p	wbsljpk	wbsljphk
z	w	qcndw	qcndwz
w	w	ncwrljxb	ncwwrljxb
u	b	pbr	pbur
q	z	grmndvphbtszql	grmndvphbtszqql
x	x	cxbg	cxxbg
a	k	dzvk	dzvka
g	l	pgrmxlvk	pgrmxlgvk
c	q	ktclvqm	ktclvqcm
g	g	bnhzdgkxtl	bnhzdggkxtl
v	h	rfhcmnb	rfhvcmnb
p	s	blshmn	blsphmn
n	d	dfnghxr	dnfnghxr
w	p	jwpgrfk	jwpwgrfk
g	k	ftkv	ftkgv
a	g	csgxwnmkpj	csgaxwnmkpj
g	l	bhdlxvf	bhdlgxvf
h	b	kbd	kbhd
d	g	nwblhg	nwblhgd
d	s	svglk	sdvglk
d	q	gtzkqhxn	gtzkqdhxn
o	w	rwpv	rwopv
j	v	wvhcxgdq	wvjhcxgdq
