input1	input2	input3	label
t	k	pzvtglmxdfhk	pzvkglmxdfhk
s	r	lpzqjs	lpzqjr
t	e	jsztp	jszep
p	s	zmp	zms
x	o	bxsp	bosp
d	h	hdmgnv	hhmgnv
k	p	rlngkfvxh	rlngpfvxh
l	m	lzmvps	mzmvps
t	z	nst	nsz
l	q	tlpd	tqpd
h	u	hsbf	usbf
s	h	sprt	hprt
b	d	nhtbgm	nhtdgm
h	o	jghtd	jgotd
b	h	bwtsxd	hwtsxd
s	g	mlbdrskh	mlbdrgkh
l	l	lgtn	lgtn
f	g	knmvfp	knmvgp
l	z	dgjlmshbpnk	dgjzmshbpnk
r	r	rkzq	rkzq
t	e	tvcpwn	evcpwn
p	e	nwtpjqgm	nwtejqgm
r	q	xtkrpl	xtkqpl
n	f	bzdn	bzdf
k	v	kgzvdh	vgzvdh
n	r	tncfg	trcfg
m	t	mrdjcwgx	trdjcwgx
g	f	kfgw	kffw
p	w	kdsbpn	kdsbwn
j	b	mbfxjzv	mbfxbzv
b	e	bvplzmw	evplzmw
l	p	klt	kpt
g	b	pgkfbxhwj	pbkfbxhwj
c	f	rvnfctb	rvnfftb
c	w	ctmhd	wtmhd
m	u	gjfsbhmxp	gjfsbhuxp
f	f	pklfb	pklfb
h	d	jfksvhb	jfksvdb
j	t	mcpjwlkfz	mcptwlkfz
j	d	spnjwqbx	spndwqbx
n	x	nhp	xhp
v	t	vfz	tfz
f	i	lwdzfvmgjb	lwdzivmgjb
l	p	cmkl	cmkp
p	g	vpnrf	vgnrf
s	k	jswfcx	jkwfcx
x	u	jknpxcdm	jknpucdm
k	h	nktp	nhtp
h	t	zhj	ztj
l	y	lqvwtg	yqvwtg
t	z	tws	zws
f	l	pftm	pltm
p	r	ztdpjhb	ztdrjhb
t	x	rhbtkf	rhbxkf
s	o	xmspnw	xmopnw
r	p	smrbdgvp	smpbdgvp
x	x	jqfbkx	jqfbkx
j	h	fgzrsqjp	fgzrsqhp
v	b	vtgsn	btgsn
l	p	mclrwgs	mcprwgs
c	n	fsnvc	fsnvn
h	b	nmh	nmb
v	l	brgv	brgl
p	b	zcp	zcb
m	y	bqtmx	bqtyx
w	f	ldrsgvzwmb	ldrsgvzfmb
n	g	nmj	gmj
l	b	clb	cbb
x	r	brjx	brjr
n	s	jspnczh	jspsczh
m	f	jxmvnq	jxfvnq
x	c	cxjn	ccjn
x	r	ldrxb	ldrrb
v	e	bvsljhcfprqnt	besljhcfprqnt
f	v	bgmfhw	bgmvhw
d	g	dfqgrp	gfqgrp
t	q	djmcrtfl	djmcrqfl
t	x	zjptml	zjpxml
p	z	cwbnpvf	cwbnzvf
p	g	skbhnp	skbhng
j	h	svhlncj	svhlnch
d	h	djcbpxmqhzs	hjcbpxmqhzs
w	x	cjwqlpg	cjxqlpg
h	m	hntk	mntk
p	k	phkwrd	khkwrd
m	z	jpmcsqbn	jpzcsqbn
g	i	klgz	kliz
r	j	zrfls	zjfls
k	d	pkqcwstmdj	pdqcwstmdj
b	z	mkxfvb	mkxfvz
c	f	njvkbtc	njvkbtf
s	u	gjbswnp	gjbuwnp
h	e	dchvsz	dcevsz
f	p	xqfstk	xqpstk
n	j	jmvtnqlzkr	jmvtjqlzkr
b	u	sxbq	sxuq
n	q	wfscn	wfscq
n	l	rqvntksm	rqvltksm
q	a	cmpwdnsqr	cmpwdnsar
r	g	ljfcrnq	ljfcgnq
b	g	rmnbwpq	rmngwpq
h	q	xshn	xsqn
h	a	mzqdh	mzqda
j	d	jxdn	dxdn
l	s	sljhxz	ssjhxz
l	y	hzxlfg	hzxyfg
m	d	mdgb	ddgb
f	t	tfkswcxb	ttkswcxb
r	v	tzwngjshlvrf	tzwngjshlvvf
t	x	wtr	wxr
r	k	mqbrklxg	mqbkklxg
k	q	hfsgqnk	hfsgqnq
z	f	tklzjqfc	tklfjqfc
f	j	vpczbmf	vpczbmj
q	t	dmzqpfs	dmztpfs
m	r	mnxvkc	rnxvkc
g	v	zshgmbj	zshvmbj
h	d	smgcphvbw	smgcpdvbw
w	m	gvcdnw	gvcdnm
c	i	dcsglpm	disglpm
g	h	lqcgxd	lqchxd
b	a	bsxw	asxw
w	z	rkpzwx	rkpzzx
b	q	bqxph	qqxph
k	w	vkdgrxzsc	vwdgrxzsc
n	y	dltqrnckv	dltqryckv
z	i	ktzl	ktil
t	c	tnwdks	cnwdks
f	e	nfkxb	nekxb
k	f	ztxkcn	ztxfcn
f	b	nbjqhztf	nbjqhztb
d	w	qzskdl	qzskwl
s	k	rxdswfjv	rxdkwfjv
j	b	pjh	pbh
f	a	qfhlk	qahlk
t	g	jdtrm	jdgrm
w	m	wdgk	mdgk
j	n	przjlt	prznlt
h	b	hltfxr	bltfxr
q	g	fpwqtvmc	fpwgtvmc
f	j	frspjx	jrspjx
k	b	kmzd	bmzd
s	h	ksnqxfb	khnqxfb
k	w	fjwhcmlk	fjwhcmlw
j	j	svnjd	svnjd
w	b	swlbkthvgznr	sblbkthvgznr
f	o	jfphgr	jophgr
j	j	jsc	jsc
k	h	rtdvwlmjnk	rtdvwlmjnh
c	k	nzxtc	nzxtk
x	e	xmjqgzwnv	emjqgzwnv
k	k	gzwk	gzwk
z	e	zsgt	esgt
r	u	rth	uth
p	r	pdb	rdb
n	g	gxcnj	gxcgj
w	a	kbwz	kbaz
p	g	wjmp	wjmg
b	v	xklgbpvj	xklgvpvj
x	a	wqxp	wqap
d	u	fndrb	fnurb
k	c	jfktpv	jfctpv
b	g	zncjdksbpwq	zncjdksgpwq
f	y	rft	ryt
s	p	wfrmznqxgtcjsh	wfrmznqxgtcjph
f	h	jfr	jhr
j	s	xqrwfjngzd	xqrwfsngzd
j	f	jrqkcz	frqkcz
x	a	mhgckdx	mhgckda
w	q	tzjgwc	tzjgqc
b	m	bswfqng	mswfqng
l	e	lqksbh	eqksbh
t	s	kjft	kjfs
d	n	ndrtpbw	nnrtpbw
m	u	wqmhrl	wquhrl
k	l	jvgkftdcnx	jvglftdcnx
c	a	nrmkcp	nrmkap
w	c	wcgjp	ccgjp
g	a	hzkfrqxg	hzkfrqxa
q	g	pbdqvxrn	pbdgvxrn
