input1	input2	input3	label
o	r	cross	corss
o	a	anyone	onyane
o	r	mortgage	mrotgage
o	e	hope	hepo
l	s	silver	lisver
c	t	corporation	torporacion
h	i	wish	whsi
d	s	inside	indise
n	i	solution	solutnoi
t	m	mature	tamure
o	e	role	relo
e	h	rather	ratehr
s	k	weeks	weesk
a	n	addition	ndditioa
m	e	came	caem
u	s	supply	uspply
t	i	nothing	noihtng
a	n	certain	certnia
r	u	usr	rsu
u	x	executive	euecxtive
g	i	running	runngni
o	r	lower	lrweo
a	r	necessary	necessray
u	o	union	oniun
w	r	jewelry	jerelwy
g	i	according	accordgni
l	i	clothing	ciothlng
m	n	mon	nom
o	c	com	ocm
i	u	particular	partucilar
e	n	fine	fien
a	e	names	nemas
e	o	robert	rebort
o	a	homepage	hamepoge
o	h	hour	ohur
a	g	gas	ags
i	k	skills	siklls
s	i	six	isx
b	s	bush	subh
d	n	islands	isladns
e	i	advice	adveci
c	a	career	acreer
y	t	military	miliyart
n	e	rental	rnetal
e	o	decision	docisien
l	a	leave	aelve
r	s	british	bsitirh
t	s	teens	seent
e	r	pre	per
g	u	huge	hgue
a	s	sat	ast
a	n	woman	womna
c	a	facilities	fcailities
i	p	zip	zpi
i	b	bid	ibd
d	k	kind	dink
e	l	middle	middel
e	m	move	eovm
a	b	cable	cbale
s	r	opportunities	oppostunitier
t	g	taking	gakint
l	a	values	vlaues
s	o	division	divioisn
i	m	coming	coimng
a	s	tuesday	tueadsy
j	c	object	obcejt
l	e	lesbian	elsbian
t	i	appropriate	approprtaie
m	h	machine	hacmine
g	l	logo	golo
n	t	length	letgnh
u	y	actually	actyallu
i	c	nice	ncie
e	r	score	scoer
a	c	statistics	stctistias
c	l	client	lcient
t	s	returns	resurnt
t	p	capital	catipal
w	f	follow	wollof
e	l	sample	sampel
s	i	investment	snveitment
s	t	sent	tens
s	w	shown	whosn
d	y	saturday	saturyad
r	a	christmas	chaistmrs
d	g	england	endlang
t	e	culture	culeurt
d	b	band	danb
f	l	flash	lfash
e	l	lead	elad
r	o	george	geroge
o	i	choice	chioce
w	t	went	tenw
g	a	starting	stgrtina
e	n	registration	rngistratioe
f	r	fri	rfi
r	u	thursday	thrusday
c	u	courses	uocrses
c	s	consumer	soncumer
t	i	airport	atrpori
o	i	foreign	fireogn
s	r	artist	astirt
o	t	outside	tuoside
f	t	furniture	turnifure
s	v	levels	leselv
l	h	channel	clanneh
l	r	letter	rettel
d	o	mode	mdoe
s	h	phones	psoneh
e	s	ideas	idsae
a	n	wednesday	wedaesdny
s	c	structure	ctrusture
u	f	fund	ufnd
s	u	summer	usmmer
w	a	allow	wlloa
r	g	degree	dergee
n	r	contract	cortnact
o	b	button	outtbn
a	l	releases	reaelses
w	d	wed	dew
o	e	homes	hemos
e	r	super	supre
a	m	male	amle
e	m	matter	eattmr
c	m	custom	mustoc
r	a	virginia	viaginir
o	m	almost	alomst
t	k	took	koot
d	l	located	docatel
p	e	multiple	multielp
s	i	asian	aisan
d	u	distribution	uistribdtion
d	r	editor	eritod
u	a	industrial	indastriul
c	s	cause	sauce
i	o	potential	pitentoal
o	s	song	osng
e	n	cnet	cent
d	l	ltd	dtl
s	o	los	lso
f	u	focus	uocfs
e	l	late	eatl
a	f	fall	afll
r	d	featured	featuder
a	d	idea	iaed
r	s	rooms	soomr
l	a	female	femlae
o	n	responsible	respnosible
c	i	inc	cni
s	u	communications	commsnicationu
i	n	win	wni
d	c	associated	assodiatec
m	h	thomas	tmohas
i	m	primary	prmiary
n	e	cancer	caecnr
r	n	numbers	rumbens
n	s	reason	reanos
l	t	tool	loot
b	w	browser	wrobser
p	n	spring	snripg
i	d	foundation	founiatdon
a	e	answer	enswar
v	e	voice	eoicv
d	f	friendly	drienfly
d	c	schedule	sdhecule
o	n	documents	dncumeots
a	u	communication	commanicution
o	e	purpose	purpeso
u	a	feature	feutare
d	b	bed	deb
e	c	comes	eomcs
o	l	police	ploice
o	r	everyone	eveoyrne
i	p	independent	pndeiendent
c	h	approach	approahc
e	s	cameras	camsrae
b	r	brown	rbown
p	i	physical	ihyspcal
n	i	operating	operatnig
i	h	hill	ihll
s	a	maps	mspa
d	n	medicine	menicide
e	l	deal	dlae
o	l	hold	hlod
a	i	ratings	ritangs
i	h	chicago	cihcago
s	m	forms	forsm
g	a	glass	algss
a	h	happy	ahppy
e	u	tue	teu
t	i	smith	smtih
e	d	wanted	wantde
v	o	developed	deoelvped
a	h	thank	tahnk
a	e	safe	sefa
i	n	unique	uinque
v	u	survey	svruey
o	p	prior	oripr
p	n	telephone	telenhope
r	s	sport	rpost
d	r	ready	deary
d	f	feed	deef
n	m	animal	aminal
c	r	sources	soucres
x	c	mexico	mecixo
u	i	population	popilatuon
u	l	regular	regluar
r	s	secure	recuse
v	t	navigation	natigavion
e	a	operations	oparetions
o	h	therefore	toerefhre
s	p	simply	pimsly
i	d	evidence	evdience
n	a	station	stntioa
h	s	christian	csrihtian
o	n	round	rnuod
l	y	paypal	palpay
f	t	favorite	tavorife
a	r	understand	undeastrnd
i	n	option	optnoi
m	r	master	rastem
v	e	valley	eallvy
l	c	recently	relentcy
o	a	probably	prabobly
h	t	thu	htu
t	l	rentals	renlats
s	a	sea	aes
i	t	built	butli
b	p	publications	buplications
b	d	blood	dloob
c	u	cut	uct
o	i	worldwide	wirldwode
e	m	improve	ieprovm
i	t	connection	conneciton
b	e	publisher	puelishbr
a	h	hall	ahll
e	l	larger	earglr
n	a	anti	nati
k	n	networks	ketworns
a	e	earth	aerth
r	a	parents	praents
o	a	nokia	nakio
i	t	impact	tmpaci
f	n	transfer	trafsner
c	r	introduction	intcodurtion
t	h	kitchen	kihcten
s	n	strong	ntrosg
l	t	tel	let
c	l	carolina	larocina
g	i	wedding	weddgni
i	o	properties	pripertoes
s	h	hospital	sohpital
g	u	ground	urognd
r	o	overview	rveoview
p	h	ship	spih
i	n	accommodation	accommodatnoi
w	e	owners	oenwrs
d	i	disease	idsease
t	c	excellent	extellenc
d	a	paid	pdia
a	y	italy	ityla
r	f	perfect	pefrect
a	h	hair	ahir
n	y	opportunity	opportuyitn
t	k	kit	tik
