input1	input2	input3	label
f	k	fnphgvklmcbs	knphgvflmcbs
h	q	mqglbh	mhglbq
g	h	bnfhg	bnfgh
k	q	kqd	qkd
v	q	vhwq	qhwv
v	j	hrgjvm	hrgvjm
m	d	mdtfhrczw	dmtfhrczw
d	q	lhgdqw	lhgqdw
m	x	mlx	xlm
h	v	dvjh	dhjv
c	s	psvc	pcvs
h	j	bwjh	bwhj
s	w	rmtlsw	rmtlws
h	l	ldqfh	hdqfl
g	l	lgvhmp	glvhmp
p	t	lrqdpmct	lrqdtmcp
q	d	qrbd	drbq
m	z	zlkfmq	mlkfzq
b	j	xjfbvzqclhw	xbfjvzqclhw
h	d	dhbt	hdbt
z	b	zbcdlk	bzcdlk
m	k	fkwbrhmg	fmwbrhkg
g	v	ltgdqv	ltvdqg
w	t	gtfw	gwft
g	b	bcgfxs	gcbfxs
v	z	chnzv	chnvz
c	f	xfcjblmr	xcfjblmr
g	m	hgtm	hmtg
p	z	sjgzhp	sjgphz
p	q	jmsqkpv	jmspkqv
l	b	fnjbclw	fnjlcbw
h	w	hpw	wph
p	z	vtlpwdgzf	vtlzwdgpf
l	t	ltnbwvg	tlnbwvg
t	q	qcltv	tclqv
q	x	swhftxdqn	swhftqdxn
m	v	vqmsp	mqvsp
m	l	qlkmpvt	qmklpvt
v	p	mqpjsdvxz	mqvjsdpxz
s	f	sftwpjch	fstwpjch
n	t	wnt	wtn
t	j	tjr	jtr
c	q	xnhcflvdqk	xnhqflvdck
c	x	cxvh	xcvh
v	h	zdbvh	zdbhv
v	r	vqdlzr	rqdlzv
k	c	wkqcnzmg	wcqknzmg
j	k	ljks	lkjs
f	c	xcf	xfc
x	d	dgmwxf	xgmwdf
v	m	mvx	vmx
z	k	zkqb	kzqb
m	d	tpdkrmc	tpmkrdc
n	w	lrndmw	lrwdmn
r	s	tfhrsl	tfhsrl
z	k	mzhsgqlk	mkhsgqlz
x	m	rxvmfg	rmvxfg
s	r	pjtrlsmn	pjtslrmn
t	m	cmtqv	ctmqv
q	r	wxqgnrt	wxrgnqt
k	c	gwpkc	gwpck
g	w	jgw	jwg
h	g	pxhg	pxgh
t	d	gdt	gtd
k	x	qkwrx	qxwrk
p	j	lpwxkjthms	ljwxkpthms
q	x	qfx	xfq
q	b	qbn	bqn
d	m	cmtd	cdtm
l	g	cdjstgl	cdjstlg
n	w	sntqwb	swtqnb
p	k	hpgk	hkgp
z	x	xtzlc	ztxlc
v	k	rxkpcbmwgqvzf	rxvpcbmwgqkzf
k	t	pstbkn	pskbtn
j	w	hjwgcp	hwjgcp
x	w	vwxbhrmk	vxwbhrmk
j	b	mljbzh	mlbjzh
d	x	qfkdsxh	qfkxsdh
c	t	vbftxc	vbfcxt
h	f	xrhvzfd	xrfvzhd
k	p	gnxftjkrzcp	gnxftjprzck
j	n	xmjvdwn	xmnvdwj
w	c	wvdc	cvdw
f	l	ftdlmp	ltdfmp
q	c	qpjrxcnw	cpjrxqnw
l	n	nlgw	lngw
m	d	gtnmd	gtndm
f	j	mzfnjpwdbl	mzjnfpwdbl
s	v	mgnspv	mgnvps
m	x	mnpxwcd	xnpmwcd
r	z	dgrlzjx	dgzlrjx
c	p	wxpdkc	wxcdkp
n	r	jrcnfp	jncrfp
s	b	csbxfqmrjz	cbsxfqmrjz
b	r	bzsr	rzsb
q	r	vcrpq	vcqpr
p	c	pwcbzjdr	cwpbzjdr
k	p	qjlwvpkgh	qjlwvkpgh
x	q	wxvhjpq	wqvhjpx
f	z	zgrckfb	fgrckzb
c	l	cglt	lgct
f	k	gdfkh	gdkfh
d	s	srdl	drsl
l	c	vlcfnk	vclfnk
r	j	cnrjdk	cnjrdk
k	d	dsxk	ksxd
f	k	bhpkfzms	bhpfkzms
m	w	xbdnslckwjpm	xbdnslckmjpw
c	z	tzc	tcz
h	r	rgqxphwb	hgqxprwb
r	v	vkmfrgx	rkmfvgx
g	t	jqgctvwh	jqtcgvwh
p	f	fdjsbtp	pdjsbtf
k	h	hdknsqj	kdhnsqj
c	j	mfbcjl	mfbjcl
b	v	bqxnvrl	vqxnbrl
p	b	bmrsphgdf	pmrsbhgdf
d	l	sldczx	sdlczx
r	z	vrfmzwl	vzfmrwl
r	v	vzbktr	rzbktv
w	d	wdgn	dwgn
p	r	pmvqnr	rmvqnp
c	d	wvzdc	wvzcd
p	v	ndprsvqtz	ndvrspqtz
q	k	cjmxpqkfl	cjmxpkqfl
l	q	qclw	lcqw
d	b	khrbdj	khrdbj
q	c	zqmlc	zcmlq
n	c	pcnhtj	pnchtj
h	q	vhftzqxp	vqftzhxp
h	q	qtzghx	htzgqx
x	s	plxvtsqn	plsvtxqn
v	t	vtl	tvl
w	q	rmwqk	rmqwk
g	r	rlfdg	glfdr
n	w	bnlw	bwln
c	v	vhxjcp	chxjvp
w	c	xrgwct	xrgcwt
p	b	hbtwqkdp	hptwqkdb
x	h	dgcfxh	dgcfhx
c	j	hkcj	hkjc
b	q	hqtfbmg	hbtfqmg
j	m	ftrmcxjw	ftrjcxmw
p	l	fnldp	fnpdl
h	n	hkzrlnxpjcfw	nkzrlhxpjcfw
n	g	cxjgnl	cxjngl
q	c	jqc	jcq
r	j	mcrbkwlfxj	mcjbkwlfxr
k	f	tfkhj	tkfhj
w	n	zhgbxmqwn	zhgbxmqnw
z	k	rdzk	rdkz
l	h	hxnl	lxnh
q	f	fqb	qfb
b	s	bsp	sbp
b	t	wtjpb	wbjpt
x	w	wrkx	xrkw
c	b	bvzc	cvzb
q	x	dpfrqnxs	dpfrxnqs
z	b	qbzj	qzbj
j	r	bkrjg	bkjrg
n	r	frqnst	fnqrst
n	x	pgbwhxlnmfv	pgbwhnlxmfv
f	m	mfv	fmv
j	b	bqxszgjvtlpmrh	jqxszgbvtlpmrh
l	h	qlh	qhl
c	t	jrlfktpbhc	jrlfkcpbht
x	c	cjznxf	xjzncf
j	t	rzjbtpd	rztbjpd
v	x	vmgrxb	xmgrvb
x	j	cxmsrjq	cjmsrxq
h	n	qschnb	qscnhb
w	m	rxmw	rxwm
m	f	dmqftzj	dfqmtzj
q	g	dqjflg	dgjflq
p	g	wfkgmphlvb	wfkpmghlvb
g	t	gzdltj	tzdlgj
r	t	tjghr	rjght
x	z	hkzvsfnx	hkxvsfnz
q	l	nsvmjlqz	nsvmjqlz
m	t	gshtcmlfj	gshmctlfj
d	l	kbgfqdwsrlzcj	kbgfqlwsrdzcj
z	x	sdmlzxn	sdmlxzn
w	l	lzdkwrs	wzdklrs
h	k	zkh	zhk
l	s	xlstj	xsltj
j	l	pgkcjl	pgkclj
z	p	jxlkpszb	jxlkzspb
g	d	xbswzjptvgd	xbswzjptvdg
s	r	mhkxcvrs	mhkxcvsr
d	b	bzdkvpr	dzbkvpr
t	z	ftdzh	fzdth
x	j	qjpzrslx	qxpzrslj
j	q	cdbkgjqzx	cdbkgqjzx
s	m	cwsm	cwms
h	r	rshz	hsrz
f	r	vdxfpmhr	vdxrpmhf
h	z	xhzc	xzhc
l	z	zwlr	lwzr
f	c	mfljwpc	mcljwpf
s	v	jvsmxtz	jsvmxtz
d	k	nmkbd	nmdbk
t	l	rthjl	rlhjt
p	s	fxrsp	fxrps
p	m	tpm	tmp
x	h	czhfx	czxfh
l	x	zglqtx	zgxqtl
b	h	bmcnfhzsq	hmcnfbzsq
v	h	nwvhm	nwhvm
m	q	qdbm	mdbq
h	r	mwrhsq	mwhrsq
f	c	tfqjxc	tcqjxf
x	b	xlzrb	blzrx
s	w	dfswqzjbg	dfwsqzjbg
n	s	wrnsh	wrsnh
b	x	lxbzt	lbxzt
t	v	bvtr	btvr
k	t	tzvmdk	kzvmdt
j	c	pcfltjq	pjfltcq
v	f	jvfntr	jfvntr
j	r	xcbrmtvfkj	xcbjmtvfkr
k	s	hxskbgr	hxksbgr
w	g	wxvdgm	gxvdwm
v	j	qpljvcsrxt	qplvjcsrxt
b	x	fwmdnlbxrj	fwmdnlxbrj
c	w	wcvjtpdhl	cwvjtpdhl
l	w	wtl	ltw
k	x	csxknq	cskxnq
c	s	bczsqknj	bszcqknj
f	c	ckftjng	fkctjng
v	t	qbsgzprvt	qbsgzprtv
t	x	zsdtx	zsdxt
z	f	rzxfqh	rfxzqh
b	t	nzjbfgtp	nzjtfgbp
q	w	mfqrchswdt	mfwrchsqdt
j	w	kldwfj	kldjfw
b	v	bdpxjv	vdpxjb
j	h	swjfqh	swhfqj
b	z	pcbdzsfq	pczdbsfq
c	g	hktlcbgs	hktlgbcs
f	z	zfj	fzj
l	z	smgzxvl	smglxvz
k	w	wkt	kwt
k	s	tklsc	tslkc
n	z	nbkhzpgmvdcs	zbkhnpgmvdcs
x	w	nwfxm	nxfwm
g	s	zsg	zgs
k	r	xrgzvmkwt	xkgzvmrwt
p	d	lvpsfbd	lvdsfbp
v	z	cbxmrdvfzk	cbxmrdzfvk
l	j	bjlsxrmqg	bljsxrmqg
c	m	hmcj	hcmj
x	g	ghxdqj	xhgdqj
j	r	fjhr	frhj
g	p	gqwlfkpt	pqwlfkgt
h	v	vxmhl	hxmvl
b	j	pdbjlgz	pdjblgz
g	l	lwgnk	gwlnk
l	k	zvmclk	zvmckl
p	t	rnmjtbdp	rnmjpbdt
f	l	lfndhjmxgcrq	flndhjmxgcrq
v	z	rtlvzcm	rtlzvcm
j	p	cvjqwp	cvpqwj
w	p	wgp	pgw
t	r	prlqzftd	ptlqzfrd
f	n	fspwncr	nspwfcr
n	j	mjgxcknrft	mngxckjrft
s	r	rcxslgzp	scxrlgzp
t	j	jtvdfk	tjvdfk
f	b	znmbgfwl	znmfgbwl
t	f	fntc	tnfc
l	v	sfmclhzdvwxrk	sfmcvhzdlwxrk
m	x	gmdhxs	gxdhms
v	r	lrcksmv	lvcksmr
x	j	crjgdxkmh	crxgdjkmh
q	w	bqjw	bwjq
p	s	kwvsp	kwvps
v	p	xdvztpb	xdpztvb
x	f	cxfg	cfxg
g	r	qdnjkwhrpsg	qdnjkwhgpsr
f	l	lfs	fls
k	q	qdrkfsn	kdrqfsn
h	r	xhzrd	xrzhd
h	t	zthsdjp	zhtsdjp
d	z	zdplrf	dzplrf
p	v	xqmpskv	xqmvskp
l	b	bxlzhcq	lxbzhcq
l	p	lkpq	pklq
x	j	djxnz	dxjnz
r	g	kwsrdmgp	kwsgdmrp
x	d	ndwx	nxwd
c	q	mjczq	mjqzc
b	l	jwcxhlgbsz	jwcxhbglsz
b	s	prkwsb	prkwbs
s	j	jqsb	sqjb
j	f	gfjr	gjfr
b	t	hmtzbwgq	hmbztwgq
l	q	tqzvl	tlzvq
f	r	nqrtfbxlwj	nqftrbxlwj
k	j	nzbshkdjf	nzbshjdkf
j	f	jhfxz	fhjxz
d	v	gjfskqvd	gjfskqdv
h	f	cbfvht	cbhvft
c	v	vdhcs	cdhvs
z	r	rmzcqv	zmrcqv
b	g	npdvtgb	npdvtbg
m	d	dcbtqmg	mcbtqdg
z	d	zncdjvhtl	dnczjvhtl
n	f	fvlnmrsz	nvlfmrsz
t	m	mqtpk	tqmpk
h	j	cgbrjxhv	cgbrhxjv
m	x	fmx	fxm
p	q	hqczxp	hpczxq
s	l	blsvgmdp	bslvgmdp
j	n	phknlwcvjxr	phkjlwcvnxr
n	x	bzgxwvjnl	bzgnwvjxl
l	k	fgwqrkl	fgwqrlk
c	j	sjnc	scnj
t	b	tdpmgbhwq	bdpmgthwq
h	s	hksrb	skhrb
w	p	pswj	wspj
p	q	qxlnpmf	pxlnqmf
k	b	qjwbgtk	qjwkgtb
x	l	tkgxl	tkglx
r	d	frxnkcdgbjz	fdxnkcrgbjz
h	q	qshtc	hsqtc
s	k	kbdtgmqjrlsp	sbdtgmqjrlkp
q	v	vklqx	qklvx
t	z	rsgjzt	rsgjtz
w	g	lcnxrgw	lcnxrwg
b	q	kbmpqd	kqmpbd
f	k	gjcmkqvf	gjcmfqvk
z	r	zbmhrjdfqwtl	rbmhzjdfqwtl
t	b	zthb	zbht
x	z	kzx	kxz
d	t	txd	dxt
r	j	sdwjflprh	sdwrflpjh
j	m	kmjz	kjmz
v	z	zvw	vzw
s	x	cdwxtsk	cdwstxk
x	s	xczsk	sczxk
k	p	plk	klp
d	v	vdh	dvh
w	x	rxjwd	rwjxd
p	v	cvgfpqw	cpgfvqw
c	v	dnvmzxcl	dncmzxvl
v	l	lvx	vlx
c	v	sclzxv	svlzxc
v	h	vmtxnh	hmtxnv
l	m	hfrslmzgt	hfrsmlzgt
x	k	lckrfnzxpt	lcxrfnzkpt
f	n	nbqf	fbqn
v	b	bkv	vkb
k	j	lqszjpk	lqszkpj
p	w	dkrjpmflw	dkrjwmflp
t	n	nbtjlx	tbnjlx
r	b	mbrfh	mrbfh
k	j	sgjrtmkn	sgkrtmjn
h	m	hxcm	mxch
b	t	jtbvw	jbtvw
n	l	slknb	snklb
q	k	qhk	khq
f	q	nsfbqr	nsqbfr
g	b	zxjngb	zxjnbg
h	s	jvpsthb	jvphtsb
m	n	hvnm	hvmn
p	d	mbgvxdjp	mbgvxpjd
q	b	qlbs	blqs
d	k	dbkrn	kbdrn
n	b	jmnkblx	jmbknlx
n	v	hvrzn	hnrzv
d	x	qjxdpv	qjdxpv
w	d	tkwhd	tkdhw
x	t	prjnmtx	prjnmxt
b	q	cqfhtxbj	cbfhtxqj
h	q	sqhk	shqk
s	t	lsqtzp	ltqszp
j	d	gckdj	gckjd
v	r	lvswgctrdp	lrswgctvdp
f	w	wfdxs	fwdxs
q	w	qwbtzl	wqbtzl
s	c	vfrwcsphqdn	vfrwscphqdn
k	v	bgnwpkv	bgnwpvk
f	m	mltgf	fltgm
l	w	pvbxnwlm	pvbxnlwm
c	g	cvpkghz	gvpkchz
m	k	dkmzptb	dmkzptb
t	n	zbltwxn	zblnwxt
z	m	tzmj	tmzj
z	f	wsrftzcp	wsrztfcp
t	l	lnwmtbhk	tnwmlbhk
t	k	fmtk	fmkt
j	v	pjwhvg	pvwhjg
p	n	pkdnl	nkdpl
t	g	tzdgvpf	gzdtvpf
m	j	mwzjvg	jwzmvg
z	w	zfbqdhw	wfbqdhz
b	t	ztmvxkbjd	zbmvxktjd
r	s	zrpgjms	zspgjmr
j	q	zsbdnmqtcjp	zsbdnmjtcqp
d	v	fsbdvmqzjn	fsbvdmqzjn
x	p	pjvklwxzqgsthd	xjvklwpzqgsthd
n	r	swrnpzdmqg	swnrpzdmqg
b	g	mgxb	mbxg
z	c	bwvcz	bwvzc
n	g	knqgr	kgqnr
s	v	bzdsqcxmvnp	bzdvqcxmsnp
v	h	kfvh	kfhv
f	n	cfwdlprng	cnwdlprfg
c	z	jxzcs	jxczs
d	t	ntd	ndt
v	t	zxwvmstb	zxwtmsvb
j	z	wtxzdfj	wtxjdfz
x	m	mkrxb	xkrmb
w	d	lcwdrnmhkqb	lcdwrnmhkqb
g	m	mnrcqlgb	gnrcqlmb
l	g	lgsx	glsx
x	f	gzlwfmxtkh	gzlwxmftkh
l	j	njbsqzfl	nlbsqzfj
w	q	dbqwrfh	dbwqrfh
j	s	rjcwplzs	rscwplzj
g	k	thlbgkxvfn	thlbkgxvfn
n	x	zxgtdrncb	zngtdrxcb
w	l	lkws	wkls
s	b	swknmvbq	bwknmvsq
p	z	nwxzmp	nwxpmz
f	w	fmtw	wmtf
w	c	cwd	wcd
t	v	bcvt	bctv
b	x	zbhfsxqv	zxhfsbqv
m	c	jcxm	jmxc
k	t	thfjk	khfjt
t	d	tqzwdj	dqzwtj
t	f	tqdfxwp	fqdtxwp
k	n	klgwrxqn	nlgwrxqk
d	g	dlmjswzpvktbg	glmjswzpvktbd
n	l	nxl	lxn
h	s	gjhrts	gjsrth
n	f	bngqtfp	bfgqtnp
s	q	zdsqbrg	zdqsbrg
h	g	hzsklg	gzsklh
l	b	zqdlbcfx	zqdblcfx
r	q	rqh	qrh
v	d	fjvhldbw	fjdhlvbw
m	q	qmnxrb	mqnxrb
n	t	trnfd	nrtfd
j	d	rkjdx	rkdjx
l	q	kvgcql	kvgclq
k	r	rlzhkb	klzhrb
h	x	pxqkh	phqkx
p	g	gwmvpfdh	pwmvgfdh
v	b	cgkwbvp	cgkwvbp
r	x	xrfcwjh	rxfcwjh
c	x	cqsx	xqsc
v	r	rvgh	vrgh
r	p	xmdzprf	xmdzrpf
g	q	gnmq	qnmg
b	x	wzxvjbp	wzbvjxp
j	x	zxmfswjbh	zjmfswxbh
j	m	jbmrcg	mbjrcg
x	q	qtcx	xtcq
b	v	mhwdvnb	mhwdbnv
b	w	wbkqs	bwkqs
b	d	wbjzkldt	wdjzklbt
f	x	fbx	xbf
g	z	stqjwfdbvrlzgc	stqjwfdbvrlgzc
p	v	vthp	pthv
q	l	kslq	ksql
j	k	ktnfhjrg	jtnfhkrg
g	p	vzgnwpj	vzpnwgj
d	v	xmhndkqvst	xmhnvkqdst
s	q	wqmzhvs	wsmzhvq
f	m	zvmrkf	zvfrkm
r	b	jpcnrzb	jpcnbzr
v	q	rdqxlwv	rdvxlwq
t	q	tvlq	qvlt
d	m	nbqhwfgdrm	nbqhwfgmrd
g	t	zrtgwqc	zrgtwqc
g	s	gsq	sgq
l	c	nxmlcv	nxmclv
j	f	sjlqf	sflqj
w	j	rgljfqhw	rglwfqhj
x	h	vxhg	vhxg
b	p	jwgvxnbp	jwgvxnpb
k	t	kwtqs	twkqs
w	l	kwjtlchm	kljtwchm
x	w	qxjdw	qwjdx
t	c	sdcmplfvxrt	sdtmplfvxrc
f	h	hfkx	fhkx
d	f	gdfqkb	gfdqkb
j	v	mnpvwcj	mnpjwcv
m	d	mqghtdcl	dqghtmcl
x	f	mxjrtsfv	mfjrtsxv
j	v	vswj	jswv
p	t	mxgvtdps	mxgvpdts
n	j	xrntmjhclq	xrjtmnhclq
z	l	qslkfz	qszkfl
b	t	lbqtrx	ltqbrx
w	f	cxkdwzmfg	cxkdfzmwg
g	k	gkh	kgh
